Removed Pin From Net: NetName=5V Pin=CN5-1
Removed Pin From Net: NetName=GND Pin=CN6-10
Removed Pin From Net: NetName=5V Pin=CN12-1
Removed Pin From Net: NetName=5V_USB Pin=CN16-1
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=NetLED2_2 Pin=R2-1
Removed Pin From Net: NetName=GND Pin=U1-2
Removed Pin From Net: NetName=SPI_CS_FLASH Pin=U1-41
Removed Pin From Net: NetName=GND Pin=U1-53
Change Component Footprint: Designator=CN16 Old Footprint=10118194-0001LF New Footprint=USB-TYPE-C MOLEX 1054500101
Change Component Comment : Designator=R2 Old Comment=576 New Comment=1.0K
Change Component Comment : Designator=CN5 Old Comment=Header 4 New Comment=SPI1
Change Component Comment : Designator=CN16 Old Comment=MicroUSB New Comment=1054500101
Change Component Comment : Designator=CN12 Old Comment=SONAR-BR New Comment=Header 4
Change component parameters: Designator = "CN16" ("CN16"); Footprint = "10118194-0001LF"; UniqueID = "\JUGYJFEC" ("\JUGYJFEC")
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-30°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1300=1.1577, 2600=1.08052, 6500=1.02649, 9100=1.00334 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shell/Shielding Material"; Value = "Steel, Stainless"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Specifications"; Value = "USB 3.1 (USB 3.1 Gen 2, Superspeed+)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "2600"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "WM12856TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "30VAC/DC"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RESC0603(1608)_N"; UniqueID = "\QBQTHEEW" ("\QBQTHEEW")
Change component parameters (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0603FT1K00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.02, 100=0.0081, 1000=0.00364, 2500=0.00316 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance (Ohms)"; Value = "1.0k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.061" L x 0.031" W (1.55mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "411308"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603FT1K00CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Component: Designator=C30(CAPC0402(1005)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "20pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creator"; Value = "osman"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics North America"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM1555C1H200GA01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.11, 10=0.082, 50=0.0444, 100=0.0376, 250=0.03076, 500=0.02632, 1000=0.0201, 5000=0.01675 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "80973"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "490-6217-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±2%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C47(CAPC0402(1005)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "20pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creator"; Value = "osman"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata Electronics North America"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM1555C1H200GA01D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.11, 10=0.082, 50=0.0444, 100=0.0376, 250=0.03076, 500=0.02632, 1000=0.0201, 5000=0.01675 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "80973"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "490-6217-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±2%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=LED2(SM-LED-0603)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://optoelectronics.liteon.com/upload/download/DS22-2000-228/S_110_LTST-C191KGKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://optoelectronics.liteon.com/upload/download/DS22-2000-228/S_110_LTST-C191KGKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Style/Size"; Value = "Rectangle with Flat Top, 1.1mm x 0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Type"; Value = "Clear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Flux @ Current - Test"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Lite-On Inc"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "LTST-C191KGKT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Millicandela Rating"; Value = "35mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.3, 10=0.238, 100=0.1296, 250=0.0864, 500=0.07344, 1000=0.05616, 2500=0.05076 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "1.60mm L x 0.80mm W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "84829"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "160-1446-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "130°"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength - Dominant"; Value = "571nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength - Peak"; Value = "574nm"; VariantName = "[No Variations]"
Added Component: Designator=P1(HDR2X4)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Component: Designator=R19(RESC0402(1005)_L)
Add component (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.016" (0.40mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-2RKF5101X"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.043, 100=0.0176, 1000=0.00791, 2500=0.00686, 5000=0.00567 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "827411"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P5.10KLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Component: Designator=R20(RESC0402(1005)_L)
Add component (AddParameter): Name = "Category"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Failure Rate"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.016" (0.40mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic Electronic Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ERJ-2RKF5101X"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.043, 100=0.0176, 1000=0.00791, 2500=0.00686, 5000=0.00567 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "827411"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P5.10KLCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Added Component: Designator=X2(OSCABS)
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "LCSC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "535-10240-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "C93232"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C30-2
Added Pin To Net: NetName=GND Pin=C47-2
Added Pin To Net: NetName=3.3V Pin=CN5-1
Added Pin To Net: NetName=3.3V Pin=CN12-1
Added Pin To Net: NetName=GND Pin=CN16-A1
Added Pin To Net: NetName=5V_USB Pin=CN16-A4
Added Pin To Net: NetName=5V_USB Pin=CN16-A9
Added Pin To Net: NetName=GND Pin=CN16-A12
Added Pin To Net: NetName=GND Pin=CN16-B1
Added Pin To Net: NetName=5V_USB Pin=CN16-B4
Added Pin To Net: NetName=5V_USB Pin=CN16-B9
Added Pin To Net: NetName=GND Pin=CN16-B12
Added Pin To Net: NetName=GND Pin=CN16-SHELL1
Added Pin To Net: NetName=GND Pin=CN16-SHELL2
Added Pin To Net: NetName=GND Pin=CN16-SHELL3
Added Pin To Net: NetName=GND Pin=CN16-SHELL4
Added Pin To Net: NetName=NetLED2_2 Pin=LED2-2
Added Pin To Net: NetName=3.3V Pin=P1-2
Added Pin To Net: NetName=NetLED2_2 Pin=P1-5
Added Pin To Net: NetName=3.3V Pin=P1-6
Added Pin To Net: NetName=GND Pin=P1-7
Added Pin To Net: NetName=3.3V Pin=R2-2
Added Pin To Net: NetName=GND Pin=R19-1
Added Pin To Net: NetName=GND Pin=R20-1
Added Pin To Net: NetName=NetC24_1 Pin=U1-2
Added Pin To Net: NetName=GND Pin=U1-9
Added Pin To Net: NetName=GND Pin=U1-10
Added Pin To Net: NetName=GND Pin=U1-11
Added Pin To Net: NetName=ROMI_PWMR Pin=U1-14
Added Pin To Net: NetName=TDX Pin=U1-16
Added Pin To Net: NetName=RDX Pin=U1-17
Added Pin To Net: NetName=NeoPixel1 Pin=U1-24
Added Pin To Net: NetName=NeoPixel2 Pin=U1-25
Added Pin To Net: NetName=QTRR_OUT Pin=U1-28
Added Pin To Net: NetName=QTRL_OUT Pin=U1-33
Added Pin To Net: NetName=ROMI_DIRR Pin=U1-34
Added Pin To Net: NetName=ROMI_S\L\P\R\ Pin=U1-35
Added Pin To Net: NetName=ROMI_DIRL Pin=U1-36
Added Pin To Net: NetName=ROMI_S\L\P\L\ Pin=U1-37
Added Pin To Net: NetName=SPI_CS_FLASH Pin=U1-54
Added Pin To Net: NetName=QTRR_CTRL Pin=U1-56
Added Pin To Net: NetName=QTRL_CTRL Pin=U1-57
Added Pin To Net: NetName=ROMI_PWML Pin=U1-58
Change Net Name : Old Net Name=NeoPixel1 New Net Name=NEOP1
Change Net Name : Old Net Name=NeoPixel2 New Net Name=NEOP2
Change Net Name : Old Net Name=NetC24_1 New Net Name=SCREEN_BTN
Change Net Name : Old Net Name=RDX New Net Name=UART2_RX
Change Net Name : Old Net Name=SPI_MISO New Net Name=SPI1_MISO
Change Net Name : Old Net Name=SPI_MOSI New Net Name=SPI1_MOSI
Change Net Name : Old Net Name=TDX New Net Name=UART2_TX
Added Pin To Net: NetName=ADC_IN1 Pin=U1-15
Added Net: Name=ADC_IN1
Added Pin To Net: NetName=BLINKY Pin=R1-2
Added Pin To Net: NetName=BLINKY Pin=U1-21
Added Net: Name=BLINKY
Added Pin To Net: NetName=DAC_OUT1 Pin=U1-20
Added Net: Name=DAC_OUT1
Added Pin To Net: NetName=ECHO_CTR Pin=CN11-3
Added Pin To Net: NetName=ECHO_CTR Pin=U1-38
Added Net: Name=ECHO_CTR
Added Pin To Net: NetName=ECHOL Pin=CN9-3
Added Pin To Net: NetName=ECHOL Pin=U1-44
Added Net: Name=ECHOL
Added Pin To Net: NetName=ECHOR Pin=CN10-3
Added Pin To Net: NetName=ECHOR Pin=U1-42
Added Net: Name=ECHOR
Added Pin To Net: NetName=ENCL_CHA Pin=CN13-1
Added Net: Name=ENCL_CHA
Added Pin To Net: NetName=ENCL_CHB Pin=CN13-2
Added Net: Name=ENCL_CHB
Added Pin To Net: NetName=ENCR_CHA Pin=CN14-1
Added Pin To Net: NetName=ENCR_CHA Pin=U1-26
